campus_id,campus,state,city,status,review_reason,best_ipeds_suggestion
82d2d96d-bd68-413c-b8af-7931ceea020b,University of St. Thomas-TX,TX,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_227863,University of St. Thomas-TX | University of St. Thomas
09eb4c4d-1391-4809-be0e-11ac02c3cf7e,King's College,PA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_213321,King's College | King's College - Pennsylvania
b672bbda-beea-49ff-aa2c-86fd70c74b6b,Univ N Carolina at Pembroke,NC,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_489937,Univ N Carolina at Pembroke | Univ N Carolina at Charlotte
03be85e7-c388-40db-ac11-960c88d1a8b2,Missouri Southern St Univ,MO,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_178341,Missouri Southern St Univ | Missouri Southern State University
afb9cd13-7cd5-48fb-8416-e358d02bc2ae,Pennsylvania State University,PA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_214713,Penn State Univ-Harrisburg | Pennsylvania State University
8f26c44b-1aed-4104-97ad-67c4574e956b,Ivy Technical Community College Kokomo S In Ivy Technical Community College Lafayette,IN,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_150987,Ivy Technical Community College Kokomo S In Ivy Technical Community College Lafayette | Ivy Tech Community College
3f2b5f3c-75a1-4c40-9e3a-798aa26d9fe9,Rockhurst University Kansas,MO,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_179043,Rockhurst University Kansas | Rockhurst University
88390087-3589-48ae-b624-0eeb2302910e,Massachusetts Inst of Tech,MA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_166683,Massachusetts Inst of Tech | Massachusetts Institute of Technology
a78c470a-f86c-44ef-a549-9ed91623bddc,"Univ of Calif, Los Angeles Los",CA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_110662,"Univ of Calif, Los Angeles Los | University of California, Los Angeles"
0af70b45-ea23-4541-bcf0-b498b7c7dea2,Metro Community College Ft Omaha E,NE,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_181303,Metro Community College Ft Omaha E | Metropolitan Community College
27ba2556-1124-4a4a-9f65-447bc45bbc09,Germanna Virginia Community College,VA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_232195,Germanna Virginia Community College | Germanna Community College
