rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
28,Valencia College,FL,138187,80.9,78.3,87.5,RAPID_GROWTH,PENDING,502,+6175.0%,0,42524,NOT_RUN,,1205,"502 business grads/year (2024) • Large undergrad population (42,524) • Business-heavy (64% of bachelor's)",Enrich structural data
29,Utah Valley University,UT,230737,89.3,90,87.4,RAPID_GROWTH,PENDING,999,+35.5%,146,43794,NOT_RUN,,2398,"999 business grads/year (2024) • Business completions +36% over 5Y • Large undergrad population (43,794) • 146 accounting grads/year",Enrich structural data
30,Texas Tech University,TX,229115,75.1,83.3,87.3,RAPID_GROWTH,49.1,1440,+35.1%,163,32635,26,IFC+MGC+NPHC+PANHELLENIC,3456,"1,440 business grads/year (2024) • Business completions +35% over 5Y • 26 social Greek chapters • Large undergrad population (32,635) • 163 accounting grads/year",Greek council enrichment
31,University of Illinois Chicago,IL,145600,66.2,74.9,87.3,RAPID_GROWTH,32.1,900,+31.4%,206,22107,16,IFC+MGC+NPHC+PANHELLENIC,2160,"900 business grads/year (2024) • Business completions +31% over 5Y • 16 social Greek chapters • Large undergrad population (22,107) • 206 accounting grads/year",Research + intro outreach
32,Washington and Lee Univ,VA,234207,59.1,47.9,87.2,RAPID_GROWTH,PENDING,144,+34.6%,48,1898,NOT_RUN,,346,144 business grads/year (2024) • Business completions +35% over 5Y • Business-heavy (32% of bachelor's),Backlog
33,University of Rochester,NY,195030,52.7,38.9,87.2,RAPID_GROWTH,PENDING,169,+55.0%,0,6764,NOT_RUN,,406,169 business grads/year (2024) • Business completions +55% over 5Y,Backlog
34,Howard University,DC,131520,51.2,50.3,87.1,RAPID_GROWTH,24.4,284,+49.5%,14,10190,6,NPHC,682,284 business grads/year (2024) • Business completions +49% over 5Y • 6 social Greek chapters,Backlog
35,Auburn University,AL,100858,91.7,92.3,86.9,RAPID_GROWTH,94.4,1526,+28.3%,156,26874,55,IFC+NPHC+PANHELLENIC,3662,"1,526 business grads/year (2024) • Business completions +28% over 5Y • 55 social Greek chapters • Large undergrad population (26,874) • 156 accounting grads/year",Greek council enrichment
36,Maryville Univ St. Louis St.,MO,178059,61,50.6,86.9,RAPID_GROWTH,PENDING,185,+59.5%,37,6062,NOT_RUN,,444,185 business grads/year (2024) • Business completions +59% over 5Y,Backlog
37,Boise State University,ID,142115,85,84.4,86.4,RAPID_GROWTH,PENDING,862,+45.1%,91,23491,NOT_RUN,,2069,"862 business grads/year (2024) • Business completions +45% over 5Y • Large undergrad population (23,491) • 91 accounting grads/year",Enrich structural data
38,Minnesota St Univ Mankato,MN,173920,80.9,78.7,86.4,RAPID_GROWTH,PENDING,583,+23.8%,74,12897,NOT_RUN,,1399,"583 business grads/year (2024) • Business completions +24% over 5Y • Large undergrad population (12,897) • 74 accounting grads/year",Enrich structural data
39,University of Kentucky,KY,157085,89.5,88.9,86.1,RAPID_GROWTH,93.3,1109,+19.8%,152,23930,57,IFC+MGC+NPHC+PANHELLENIC,2662,"1,109 business grads/year (2024) • Business completions +20% over 5Y • 57 social Greek chapters • Large undergrad population (23,930) • 152 accounting grads/year",Greek council enrichment
40,Babson College Babson,MA,164580,71.4,65.5,86,RAPID_GROWTH,PENDING,721,+31.6%,0,2752,NOT_RUN,,1730,721 business grads/year (2024) • Business completions +32% over 5Y • Business-heavy (100% of bachelor's),Enrich structural data
41,North Carolina A&T State Un,NC,199102,64.4,55.9,85.8,RAPID_GROWTH,PENDING,274,+79.1%,22,12216,NOT_RUN,,658,274 business grads/year (2024) • Business completions +79% over 5Y,Enrich structural data
42,Tulane University New,LA,160755,74.7,70.4,85.6,RAPID_GROWTH,PENDING,604,+23.5%,0,8077,NOT_RUN,,1450,604 business grads/year (2024) • Business completions +24% over 5Y • Business-heavy (30% of bachelor's),Enrich structural data
43,Campbellsville University,KY,156365,59.4,48.9,85.6,RAPID_GROWTH,PENDING,116,+46.8%,15,6853,NOT_RUN,,278,116 business grads/year (2024) • Business completions +47% over 5Y,Backlog
44,Southeastern Oklahoma State University,OK,207847,55.9,44.1,85.4,RAPID_GROWTH,PENDING,139,+43.3%,19,3207,NOT_RUN,,334,139 business grads/year (2024) • Business completions +43% over 5Y,Backlog
45,University of Houston - Downtown,TX,225432,88,89.1,85.3,RAPID_GROWTH,PENDING,1057,+20.0%,240,12880,NOT_RUN,,2537,"1,057 business grads/year (2024) • Business completions +20% over 5Y • Large undergrad population (12,880) • 240 accounting grads/year • Business-heavy (36% of bachelor's)",Enrich structural data
