rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
65,Bentley University,MA,164739,72.8,78.9,57.5,STABLE,PENDING,849,-6.1%,112,4350,NOT_RUN,,2038,849 business grads/year (2024) • Business completions -6% over 5Y • 112 accounting grads/year • Business-heavy (92% of bachelor's),Enrich structural data
66,Georgia State University,GA,139940,63.3,78.9,50.9,STABLE,42,1008,-8.5%,145,27588,21,IFC+NPHC+PANHELLENIC,2419,"1,008 business grads/year (2024) • Business completions -8% over 5Y • 21 social Greek chapters • Large undergrad population (27,588) • 145 accounting grads/year",Greek council enrichment
67,Missouri State University,MO,179566,59.4,78.8,27.8,DECLINING,46,692,-28.2%,73,19259,31,IFC+NPHC+PANHELLENIC,1661,"692 business grads/year (2024) • Business completions -28% over 5Y • 31 social Greek chapters • IFC + NPHC + PANHELLENIC contacts verified • Large undergrad population (19,259)",Council outreach
68,Minnesota St Univ Mankato,MN,173920,80.9,78.7,86.4,RAPID_GROWTH,PENDING,583,+23.8%,74,12897,NOT_RUN,,1399,"583 business grads/year (2024) • Business completions +24% over 5Y • Large undergrad population (12,897) • 74 accounting grads/year",Enrich structural data
69,SUNYat Buffalo,NY,196088,67.7,78.4,41.1,STABLE,PENDING,798,-17.4%,101,20463,NOT_RUN,,1915,"798 business grads/year (2024) • Business completions -17% over 5Y • Large undergrad population (20,463) • 101 accounting grads/year",Enrich structural data
70,Valencia College,FL,138187,80.9,78.3,87.5,RAPID_GROWTH,PENDING,502,+6175.0%,0,42524,NOT_RUN,,1205,"502 business grads/year (2024) • Large undergrad population (42,524) • Business-heavy (64% of bachelor's)",Enrich structural data
71,University of Maryland College,MD,163286,73.2,78.3,60.6,STABLE,PENDING,986,-1.4%,134,30608,NOT_RUN,,2366,"986 business grads/year (2024) • Business completions -1% over 5Y • Large undergrad population (30,608) • 134 accounting grads/year",Enrich structural data
72,Univ of Hawaii at Manoa,HI,141574,71.5,78.3,54.5,STABLE,PENDING,624,-13.0%,69,14576,NOT_RUN,,1498,"624 business grads/year (2024) • Business completions -13% over 5Y • Large undergrad population (14,576) • 69 accounting grads/year",Enrich structural data
73,The University of Texas at Dallas,TX,228787,65.1,78.2,58,STABLE,44.6,961,-0.2%,195,21330,23,IFC+MGC+NPHC+PANHELLENIC,2306,"961 business grads/year (2024) • Business completions 0% over 5Y • 23 social Greek chapters • Large undergrad population (21,330) • 195 accounting grads/year",Greek council enrichment
74,Texas State University,TX,228459,62.5,78,44.3,STABLE,46,1102,-15.0%,129,34547,24,IFC+MGC+NPHC+PANHELLENIC,2645,"1,102 business grads/year (2024) • Business completions -15% over 5Y • 24 social Greek chapters • Large undergrad population (34,547) • 129 accounting grads/year",Greek council enrichment
75,Boston College Chestnut,MA,164924,78.6,77.8,80.6,GROWING,PENDING,566,+13.2%,127,10083,NOT_RUN,,1358,566 business grads/year (2024) • Business completions +13% over 5Y • 127 accounting grads/year,Enrich structural data
76,University of Utah Salt Lake,UT,230764,79.9,77.7,85.3,RAPID_GROWTH,PENDING,810,+24.8%,134,26827,NOT_RUN,,1944,"810 business grads/year (2024) • Business completions +25% over 5Y • Large undergrad population (26,827) • 134 accounting grads/year",Enrich structural data
77,University of Notre Dame Notre,IN,152080,75,77.2,69.6,GROWING,PENDING,585,+12.9%,61,8968,NOT_RUN,,1404,585 business grads/year (2024) • Business completions +13% over 5Y • 61 accounting grads/year,Enrich structural data
