campus,state,course_code,market_opportunity,intro_accounting_paid_market_status,accounting_competitors,course_specific_sites,strongest_competitor,competitor_domains
University of Montana,MT,,44.2,STRONG,9,,montana.cpa,superprof.ng; montana.cpa; coursedog.com; princetonreview.com; tutorz.com; mdrc.org; studysoup.com; quizlet.com; superprof.com
University of Wisconsin–Stevens Point,WI,ACCT 210,44.2,STRONG,15,coursehero.com; wizeprep.com,Wize Prep,princetonreview.com; studysoup.com; give.org; coursedog.com; atmtutoring.com; csuebbap.club; picktime.com; tutoringprof.com; stevenspointjournal.com; brainfuse.com
Indiana University Southeast,IN,BUS-A 201,44.1,STRONG,13,,indianachamber.com,varsitytutors.com; princetonreview.com; indianachamber.com; macrothink.org; busa201.com; fennie.ai; co.uk; preply.com; quizlet.com; docsity.com
Southeastern Oklahoma State University,OK,ACCT 2103,44.1,STRONG,7,coursehero.com,Course Hero,thesoutheastern.com; purplemath.com; coursehero.com; studocu.com; joinknack.com; quizlet.com; docsity.com
Southeastern Oklahoma St,OK,ACCT-2103,44.1,STRONG,5,coursehero.com,Course Hero,coursehero.com; joinknack.com; docsity.com; cliffsnotes.com; quizlet.com
Idaho State University,ID,ACCT 2201,44,STRONG,11,coursehero.com,Course Hero,frogtutoring.com; tutorz.com; docsity.com; superfastcpa.com; coursehero.com; cliffsnotes.com; preply.com; quizlet.com; studystack.com; coursesidekick.com
Northern Michigan Univ,MI,ACT 230,43.8,STRONG,6,,culsr.org,frogtutoring.com; princetonreview.com; quizlet.com; culsr.org; ecampus.com; rocketcert.com
Drake University Des,IA,,43.6,MODERATE,2,,Wyzant,wyzant.com; owlstown.net
State Un College at Geneseo,NY,ACCT 102,43.5,MODERATE,5,,Scribd,scribd.com; tutors-on-call.com; amazonaws.com; varsitytutors.com; preply.com
Campbell University,NC,ACCT 215,43.5,STRONG,11,coursehero.com,Course Hero,frogtutoring.com; universitytutor.com; coursehero.com; princetonreview.com; csuebbap.club; coursesidekick.com; quizlet.com; stuvia.com; studocu.com; scribd.com
St. Edward's University,TX,,43.1,MODERATE,3,,FrogTutoring,princetonreview.com; frogtutoring.com; tutorocean.com
Trevecca Nazarene University,TN,,42.9,MODERATE,7,,Quizlet,varsitytutors.com; quizlet.com; coursehero.com; princetonreview.com; studocu.com; cliffsnotes.com; proquest.com
Eastern Illinois Univ,IL,,42.4,MODERATE,3,,Varsity Tutors,varsitytutors.com; princetonreview.com; docsity.com
Montana State Univ-Billings,MT,ACTG 201,42.2,STRONG,7,,academicworks.com,princetonreview.com; academicworks.com; wyzant.com; studysoup.com; quizlet.com; studocu.com; coursehero.com
Univ of Louisiana at Monroe,LA,,42.2,STRONG,3,,FrogTutoring,coursehero.com; edubirdie.com; frogtutoring.com
"Auburn Univ, Montgomery",AL,,41.9,MODERATE,5,coursehero.com,Course Hero,varsitytutors.com; coursehero.com; accountingedu.org; cliffsnotes.com; princetonreview.com
La Salle University,PA,,41.8,MODERATE,6,,UniversityTutor,universitytutor.com; princetonreview.com; scribd.com; wyzant.com; tutorocean.com; ebay.com
