chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
21604309-f167-4903-b960-4b89fd0f278b,University of Florida,Theta Nu Xi,MGC,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2022,0,0,,,164379,152496,363481,0,LIGHT,NATIONAL_ONLY
4c82c970-1997-45bf-ba50-7a1739c06863,University of Georgia,Gamma Phi Beta,Panhellenic,ENTITY_MATCHED,3,2,true,false,false,true,false,2024,3,0,MICHELLE HOOD ROSENTHAL,,1221891,1261955,182493,0,LIGHT,HIGH
56e66157-c555-457c-9c78-9ead1e4c6c0b,University of Georgia,Pi Beta Phi,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,9556072,8964046,47809375,4630878,LIGHT,NATIONAL_ONLY
d86c7bbb-0117-4d29-b0d7-e1219978b359,University of Florida,Chi Phi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,0,0,,,934035,846893,208142,7862,LIGHT,HIGH
d87ff56e-67e9-4792-9f8c-3d59d24a5b3c,University of Georgia,Alpha Gamma Delta,Panhellenic,ENTITY_MATCHED,3,2,true,false,false,true,false,2023,8,8,LEE WOODHAM LANGUB,,1594780,1582987,199418,52437,LIGHT,HIGH
da533485-1591-4603-af01-a865f7ef7b52,Louisiana State University,Beta Theta Pi,IFC,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,6378113,7611188,6605669,5491333,LIGHT,NATIONAL_ONLY
dbaff48f-8549-4633-bd38-a9892c9d6bbe,University of Arkansas,Omega Delta Phi,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
5bb8da71-7716-4f00-bb46-584511475f1d,University of Florida,Lambda Chi Alpha,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,7757361,9318779,6329265,6105805,LIGHT,HIGH
5e625acc-8d93-42c7-86cb-a6144da1080f,University of Georgia,Zeta Tau Alpha,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,8374719,10057415,36753113,13449328,LIGHT,NATIONAL_ONLY
f370eccd-c5e4-4406-ad8c-06cd0e10a7b8,University of Georgia,Alpha Chi Omega,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,8,10,LYNNE BIGGIO HERNDON,LESLIE ABRAMSKY BLOCK,14721901,15897771,27766470,17951953,LIGHT,NATIONAL_ONLY
f4e65447-ca17-45e4-a826-327e86c42361,University of Georgia,Delta Gamma,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,6798067,7007656,19676752,1853098,LIGHT,NATIONAL_ONLY
f948d255-a856-4c9c-be22-c12602f7770e,University of Georgia,Delta Phi Epsilon,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2022,0,0,,,2232843,2579930,2808095,1988366,LIGHT,NATIONAL_ONLY
60e7fec7-b4e9-444f-a5e5-a024102b7488,University of Arkansas,Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
6476eb05-5f29-40a1-964f-794ceeb01890,University of Georgia,Delta Zeta,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,4,4,MICHELLE ALBRECHT SMITH,,26809001,20532278,96230431,29613757,LIGHT,NATIONAL_ONLY
66786a08-8ea2-4f6c-8f41-27ab1d81bc14,Louisiana State University,Delta Chi,IFC,ENTITY_MATCHED,3,2,true,true,false,true,false,2023,0,0,,,276750,224436,74691,0,MODERATE,HIGH
6eb899e7-4c7d-412c-8baa-808ae5bc36d9,University of Florida,Sigma Alpha Epsilon,IFC,ENTITY_MATCHED,3,2,true,false,false,true,false,2024,2,9,DAVID SASSER,CORBIN EMERSON,925205,859723,235355,4722,LIGHT,HIGH
6f856aed-b8be-463d-b963-3c70dda0f40d,University of Georgia,Kappa Alpha Theta,Panhellenic,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,11,7,ERICA D'ANGELO OCHS,,8145905,7622433,35939184,20356979,LIGHT,HIGH
70a73586-3940-451e-91b9-246ed43cafb2,University of Florida,Kappa Sigma,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2022,0,0,,,5863607,5483274,7857250,989095,LIGHT,HIGH
