ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
900353708,THETA CHI FRATERNITY UNIVERSITY OF MISSOURI IOTA MU CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990,true,432189,418294,82086,0,82086,PROPUBLICA_API
430519030,SIGMA NU HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,1087071,307098,6898511,5407551,1490960,PROPUBLICA_API
464496506,RHO CHAPTER SIGMA NU EDUCATIONAL FOUNDATION,EDUCATIONAL_FOUNDATION,2018,990,true,403893,350013,111780,0,111780,PROPUBLICA_API
237330439,BETA THETA PI CLUB OF COLUMBIA MISSOURI,UNKNOWN,2018,990,true,800338,229083,15934229,3125500,12808729,PROPUBLICA_API
475168633,ALPHA SIGMA PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,65000,63050,9224,0,9224,PROPUBLICA_API
320535538,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,71132,58723,23839,43,23796,PROPUBLICA_API
730581503,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,6396,104561,1227543,300000,927543,PROPUBLICA_API
446013887,DELTA TAU DELTA ASSOCIATION OF COLUNBIA MO,UNKNOWN,2018,990,true,639729,631341,2345007,746336,1598671,PROPUBLICA_API
730583070,LAMBDA CHI ALPHA FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,721050,728576,44698,40147,4551,PROPUBLICA_API
430240451,DELTA TAU DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1154284,1023330,546933,76502,470431,PROPUBLICA_API
311128130,PHI KAPPA PSI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,180330,202939,1978,0,1978,PROPUBLICA_API
730582839,BETA THETA PI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,727619,898772,250146,73258,176888,PROPUBLICA_API
730589378,TRUSTEES OF OKLAHOMA ALPHA CHAPTER OF PI BETA PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,424808,526508,1580897,1561,1579336,PROPUBLICA_API
640307103,PHI MU FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,2018004,1299280,4919306,559321,4359985,PROPUBLICA_API
736103379,BETA THETA PI CORPORATION OF OKLA,UNKNOWN,2018,990,true,1571707,1246310,9594144,2601165,6992979,PROPUBLICA_API
646027408,MISSISSIPPI BETA OF PI BETA PHI HOUSE ASSOCIATION INC,HOUSE_CORPORATION,2018,990,true,710391,400903,4470091,751745,3718346,PROPUBLICA_API
510178981,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,286172,243659,142039,15112,126927,PROPUBLICA_API
640330884,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2018,990,true,455609,415952,86056,0,86056,PROPUBLICA_API
731233879,BUILDING ASSOCIATION OF THE EPSILON ALPHA CHAPT CHI OMEGA FRATERNITY,HOUSE_CORPORATION,2018,990,true,1856155,1489209,8128759,2418082,5710677,PROPUBLICA_API
730583442,KAPPA ALPHA ORDER,UNKNOWN,2018,990,true,280722,281822,180,0,180,PROPUBLICA_API
640315255,SIGMA CHI FRATERNITY ETA CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990,true,1037540,1027265,659974,55719,604255,PROPUBLICA_API
640717329,DELTA DELTA DELTA NATIONAL HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,1077904,730602,10109017,5876947,4232070,PROPUBLICA_API
640304773,SIGMA NU FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1809849,1375637,2205869,0,2205869,PROPUBLICA_API
730579972,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,972830,877197,2231253,68711,2162542,PROPUBLICA_API
