campus,chapter,council,legal_entity_status
"University of Tennessee, Knoxville",Sigma Lambda Beta,MGC,NO_ENTITY_FOUND
"University of Tennessee, Knoxville",Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
"University of Tennessee, Knoxville",Phi Beta Sigma,NPHC,NEEDS_REVIEW
"University of Tennessee, Knoxville",Lambda Theta Phi,MGC,NO_ENTITY_FOUND
"University of Tennessee, Knoxville",Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND
Vanderbilt University,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
Vanderbilt University,Kappa Delta Chi,MGC,NO_ENTITY_FOUND
Texas A&M University,Kappa Delta Chi,MGC,CANDIDATES_FOUND
Texas A&M University,Gamma Phi Omega,MGC,NO_ENTITY_FOUND
Vanderbilt University,Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND
Texas A&M University,Delta Kappa Delta,MGC,NO_ENTITY_FOUND
Texas A&M University,Gamma Beta,MGC,NO_ENTITY_FOUND
Texas A&M University,Beta Upsilon Chi,IFC,NEEDS_REVIEW
"University of Tennessee, Knoxville",FarmHouse,IFC,NOT_RUN
Vanderbilt University,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
Texas A&M University,Lambda Delta Psi,MGC,NO_ENTITY_FOUND
Texas A&M University,Phi Beta Sigma,NPHC,NEEDS_REVIEW
Texas A&M University,Alpha Phi Alpha,NPHC,NO_ENTITY_FOUND
Texas A&M University,Omega Delta Phi,MGC,NEEDS_REVIEW
Vanderbilt University,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
Texas A&M University,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
Mississippi State University,Alpha Psi Lambda,MGC,NO_ENTITY_FOUND
University of Georgia,Lambda Phi Epsilon,MGC,NO_ENTITY_FOUND
University of Arkansas,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
Texas A&M University,Gamma Alpha Omega,MGC,NO_ENTITY_FOUND
University of Alabama,Alpha Delta Chi,MGC,NO_ENTITY_FOUND
University of South Carolina,Hermandad de Sigma Iota Alpha,MGC,NO_ENTITY_FOUND
University of Texas at Austin,Delta Phi Omega,MGC,NO_ENTITY_FOUND
University of Kentucky,Omega Delta Phi,MGC,NO_ENTITY_FOUND
University of South Carolina,Omega Phi Beta,MGC,NO_ENTITY_FOUND
University of Missouri,Omega Delta Phi,MGC,NO_ENTITY_FOUND
University of Florida,Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND
University of Oklahoma,Lambda Phi Epsilon,MGC,NO_ENTITY_FOUND
University of Georgia,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
University of Missouri,Delta Phi Lambda,MGC,NO_ENTITY_FOUND
"University of Tennessee, Knoxville",Delta Phi Lambda,MGC,NO_ENTITY_FOUND
"University of Tennessee, Knoxville",Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Missouri,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
University of Missouri,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
Louisiana State University,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
Vanderbilt University,Alpha Phi Alpha,NPHC,NO_ENTITY_FOUND
University of Georgia,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
University of Kentucky,Phi Beta Sigma,NPHC,NO_ENTITY_FOUND
University of Florida,Kappa Phi Lambda,MGC,NO_ENTITY_FOUND
University of Texas at Austin,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
University of Texas at Austin,Alpha Phi Alpha,NPHC,NO_ENTITY_FOUND
Texas A&M University,Beta Tau Omega,MGC,NO_ENTITY_FOUND
University of Arkansas,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
University of Florida,Sigma Beta Rho,MGC,NO_ENTITY_FOUND
University of Oklahoma,Sigma Lambda Beta,MGC,NO_ENTITY_FOUND
Mississippi State University,FarmHouse,IFC,NOT_RUN
University of Florida,Alpha Kappa Delta Phi,MGC,NEEDS_REVIEW
University of Florida,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Alabama,Alpha Phi Alpha,NPHC,NEEDS_REVIEW
University of Georgia,Alpha Phi Alpha,NPHC,NEEDS_REVIEW
University of Georgia,Phi Beta Sigma,NPHC,NEEDS_REVIEW
University of Kentucky,Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND
University of South Carolina,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
University of Georgia,Delta Epsilon Psi,MGC,NO_ENTITY_FOUND
University of Oklahoma,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
University of Oklahoma,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
University of South Carolina,Alpha Phi Alpha,NPHC,NEEDS_REVIEW
"University of Tennessee, Knoxville",Alpha Phi Alpha,NPHC,NO_ENTITY_FOUND
University of Texas at Austin,Beta Chi Theta,MGC,NO_ENTITY_FOUND
University of Texas at Austin,Omega Delta Phi,MGC,NEEDS_REVIEW
Texas A&M University,Chi Psi Beta,MGC,NO_ENTITY_FOUND
University of Mississippi,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
