ein,legal_name,entity_type,entity_type_confidence,city,state,zip,irs_subsection,ntee_code,affiliation_code,group_exemption_number,asset_amt,income_amt,source
521612746,KAPPA ALPHA PSI FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37240-7727,07,,9,1372,,,IRS_EO_BMF
473151737,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37212-2032,07,,9,0355,137,89927,IRS_EO_BMF
933530281,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37202-3817,07,,9,0355,,,IRS_EO_BMF
626048153,DELTA SIGMA THETA SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37228-8509,07,,9,1188,,,IRS_EO_BMF
621771326,PHI BETA SIGMA FRATERNITY-ETA BETA SIGMA CHAPTER INCORPORATED,LOCAL_CHAPTER_ENTITY,LOW,NASHVILLE,TN,37202-2052,03,P20,3,,40033,29728,IRS_EO_BMF
521346179,ZETA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37208-3045,07,,9,1474,,,IRS_EO_BMF
621781729,ZETA PHI BETA SORORITY INC PI ZETA CHAPTER,LOCAL_CHAPTER_ENTITY,LOW,NASHVILLE,TN,37228-0926,03,,3,,,,IRS_EO_BMF
621466616,BETA TAU HOUSE CORPORATION OF KAPPA DELTA SORORITY,HOUSE_CORPORATION,HIGH,NASHVILLE,TN,37212-2036,07,,3,,228048,117208,IRS_EO_BMF
626047662,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,MEDIUM,NASHVILLE,TN,37212-2036,07,,9,0805,197668,213977,IRS_EO_BMF
310406470,PHI DELTA THETA FRATERNITY,NATIONAL_PARENT,HIGH,OXFORD,OH,45056-1801,07,,6,0164,6857852,7229416,IRS_EO_BMF
231431779,KAPPA ALPHA PSI FRATERNITY INC,NATIONAL_PARENT,HIGH,PHILADELPHIA,PA,19132-4503,07,,6,1372,17951300,15562289,IRS_EO_BMF
356020472,SIGMA GAMMA RHO SORORITY INC,NATIONAL_PARENT,HIGH,RALEIGH,NC,27603-2578,07,,6,1540,7679673,11113527,IRS_EO_BMF
361996950,ZETA TAU ALPHA INTL FRATERNITY & FRATERNITY HOUSING CORPORATION,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-2544,07,,6,0406,40160166,22686768,IRS_EO_BMF
