Institution,Has Fraternity,Has Sorority,% Fraternity,% Sorority,Greek Eligibility
Boise State University,Y,Y,,,eligible
Colorado College,Y,Y,,,eligible
Cooper Union for the Advancement of Science and Art,Y,Y,0,0,eligible
Cornell University,Y,Y,,,eligible
Drake University,Y,Y,,,eligible
Embry-Riddle Aeronautical University,Y,Y,,,eligible
Emerson College,Y,Y,,,eligible
James Madison University,Y,Y,,,eligible
Marquette University,Y,Y,,,eligible
Occidental College,Y,Y,,,eligible
Pratt Institute-Main,Y,Y,,,eligible
Rutgers University-Camden,Y,Y,,,eligible
Rutgers University-New Brunswick,Y,Y,,,eligible
Rutgers University-Newark,Y,Y,,,eligible
Saint Louis University,Y,Y,,,eligible
San Jose State University,Y,Y,,,eligible
SUNY College of Environmental Science and Forestry,Y,Y,,,eligible
Trinity College,Y,Y,,,eligible
University of Nevada-Reno,Y,Y,,,eligible
University of Washington-Seattle,Y,Y,,,eligible
Virginia Tech,Y,Y,,,eligible
University of California-Irvine,Y,Y,,,eligible
University of California-Merced,Y,Y,,,eligible
Yale University,Y,Y,,,eligible
