campus,national_org,chapter_designation,council,letters
Louisiana State University,Alpha Delta Pi,,Panhellenic,ΑΔΠ
Louisiana State University,Alpha Phi,,Panhellenic,ΑΦ
Louisiana State University,Chi Omega,,Panhellenic,ΧΩ
Louisiana State University,Delta Delta Delta,,Panhellenic,ΔΔΔ
Louisiana State University,Delta Gamma,,Panhellenic,ΔΓ
Louisiana State University,Delta Zeta,,Panhellenic,ΔΖ
Louisiana State University,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
Louisiana State University,Kappa Delta,,Panhellenic,ΚΔ
Louisiana State University,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
Louisiana State University,Phi Mu,,Panhellenic,ΦΜ
Louisiana State University,Pi Beta Phi,,Panhellenic,ΠΒΦ
Louisiana State University,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
Louisiana State University,Alpha Phi Alpha,,NPHC,ΑΦΑ
Louisiana State University,Alpha Kappa Alpha,,NPHC,ΑΚΑ
Louisiana State University,Delta Sigma Theta,,NPHC,ΔΣΘ
Louisiana State University,Iota Phi Theta,,NPHC,ΙΦΘ
Louisiana State University,Kappa Alpha Psi,,NPHC,ΚΑΨ
Louisiana State University,Omega Psi Phi,,NPHC,ΩΨΦ
Louisiana State University,Phi Beta Sigma,,NPHC,ΦΒΣ
Louisiana State University,Sigma Gamma Rho,,NPHC,ΣΓΡ
Louisiana State University,Zeta Phi Beta,,NPHC,ΖΦΒ
Louisiana State University,Delta Phi Omega,,MGC,ΔΦΩ
Louisiana State University,Kappa Delta Chi,,MGC,ΚΔΧ
Louisiana State University,Lambda Theta Alpha,,MGC,ΛΘΑ
Louisiana State University,Lambda Theta Phi,,MGC,ΛΘΦ
Mississippi State University,Alpha Gamma Rho,,IFC,ΑΓΡ
Mississippi State University,Alpha Tau Omega,,IFC,ΑΤΩ
Mississippi State University,Beta Upsilon Chi,,IFC,ΒΥΧ
Mississippi State University,Delta Chi,,IFC,ΔΧ
Mississippi State University,Delta Kappa Epsilon,,IFC,ΔΚΕ
Mississippi State University,FarmHouse,,IFC,FH
Mississippi State University,Kappa Alpha Order,,IFC,ΚΑ
Mississippi State University,Kappa Sigma,,IFC,ΚΣ
Mississippi State University,Lambda Chi Alpha,,IFC,ΛΧΑ
Mississippi State University,Phi Delta Theta,,IFC,ΦΔΘ
Mississippi State University,Phi Gamma Delta,,IFC,ΦΓΔ
Mississippi State University,Phi Kappa Tau,,IFC,ΦΚΤ
Mississippi State University,Pi Kappa Alpha,,IFC,ΠΚΑ
Mississippi State University,Pi Kappa Phi,,IFC,ΠΚΦ
Mississippi State University,Sigma Alpha Epsilon,,IFC,ΣΑΕ
Mississippi State University,Sigma Chi,,IFC,ΣΧ
Mississippi State University,Sigma Nu,,IFC,ΣΝ
Mississippi State University,Sigma Phi Epsilon,,IFC,ΣΦΕ
Mississippi State University,Sigma Pi,,IFC,ΣΠ
Mississippi State University,Alpha Chi Omega,,Panhellenic,ΑΧΩ
Mississippi State University,Chi Omega,,Panhellenic,ΧΩ
Mississippi State University,Delta Delta Delta,,Panhellenic,ΔΔΔ
Mississippi State University,Delta Gamma,,Panhellenic,ΔΓ
Mississippi State University,Delta Zeta,,Panhellenic,ΔΖ
Mississippi State University,Kappa Delta,,Panhellenic,ΚΔ
Mississippi State University,Phi Mu,,Panhellenic,ΦΜ
Mississippi State University,Pi Beta Phi,,Panhellenic,ΠΒΦ
Mississippi State University,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
Mississippi State University,Alpha Phi Alpha,,NPHC,ΑΦΑ
Mississippi State University,Alpha Kappa Alpha,,NPHC,ΑΚΑ
Mississippi State University,Delta Sigma Theta,,NPHC,ΔΣΘ
Mississippi State University,Iota Phi Theta,,NPHC,ΙΦΘ
Mississippi State University,Kappa Alpha Psi,,NPHC,ΚΑΨ
Mississippi State University,Omega Psi Phi,,NPHC,ΩΨΦ
Mississippi State University,Phi Beta Sigma,,NPHC,ΦΒΣ
Mississippi State University,Sigma Gamma Rho,,NPHC,ΣΓΡ
Mississippi State University,Zeta Phi Beta,,NPHC,ΖΦΒ
Mississippi State University,Alpha Psi Lambda,,UGC,ΑΨΛ
Mississippi State University,Delta Xi Phi,,UGC,ΔΞΦ
Mississippi State University,Sigma Lambda Beta,,UGC,ΣΛΒ
Mississippi State University,Sigma Lambda Gamma,,UGC,ΣΛΓ
University of Missouri,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of Missouri,Alpha Gamma Rho,,IFC,ΑΓΡ
University of Missouri,Alpha Gamma Sigma,,IFC,ΑΓΣ
University of Missouri,Alpha Kappa Lambda,,IFC,ΑΚΛ
University of Missouri,Alpha Tau Omega,,IFC,ΑΤΩ
University of Missouri,Beta Sigma Psi,,IFC,ΒΣΨ
University of Missouri,Beta Theta Pi,,IFC,ΒΘΠ
University of Missouri,Delta Chi,,IFC,ΔΧ
University of Missouri,Delta Kappa Epsilon,,IFC,ΔΚΕ
University of Missouri,Delta Sigma Phi,,IFC,ΔΣΦ
University of Missouri,Delta Tau Delta,,IFC,ΔΤΔ
University of Missouri,FarmHouse,,IFC,FH
University of Missouri,Kappa Alpha Order,,IFC,ΚΑ
University of Missouri,Kappa Sigma,,IFC,ΚΣ
University of Missouri,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Missouri,Phi Delta Theta,,IFC,ΦΔΘ
University of Missouri,Phi Gamma Delta,,IFC,ΦΓΔ
University of Missouri,Phi Kappa Psi,,IFC,ΦΚΨ
University of Missouri,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Missouri,Pi Kappa Phi,,IFC,ΠΚΦ
University of Missouri,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Missouri,Sigma Chi,,IFC,ΣΧ
University of Missouri,Sigma Nu,,IFC,ΣΝ
University of Missouri,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Missouri,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Missouri,Theta Chi,,IFC,ΘΧ
University of Missouri,Theta Xi,,IFC,ΘΞ
University of Missouri,Triangle,,IFC,Triangle
University of Missouri,Zeta Beta Tau,,IFC,ΖΒΤ
University of Missouri,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Missouri,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Missouri,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Missouri,Alpha Phi,,Panhellenic,ΑΦ
University of Missouri,Chi Omega,,Panhellenic,ΧΩ
University of Missouri,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Missouri,Delta Gamma,,Panhellenic,ΔΓ
University of Missouri,Delta Xi,,Panhellenic,
University of Missouri,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Missouri,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Missouri,Kappa Delta,,Panhellenic,ΚΔ
University of Missouri,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Missouri,Phi Mu,,Panhellenic,ΦΜ
University of Missouri,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Missouri,Sigma Kappa,,Panhellenic,ΣΚ
University of Missouri,Sigma Sigma Sigma,,Panhellenic,ΣΣΣ
University of Missouri,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Missouri,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Missouri,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Missouri,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Missouri,Iota Phi Theta,,NPHC,ΙΦΘ
University of Missouri,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Missouri,Omega Psi Phi,,NPHC,ΩΨΦ
University of Missouri,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Missouri,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Missouri,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Missouri,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Missouri,Delta Phi Lambda,,MGC,ΔΦΛ
University of Missouri,Lambda Theta Alpha,,MGC,ΛΘΑ
University of Missouri,Lambda Theta Phi,,MGC,ΛΘΦ
University of Missouri,Omega Delta Phi,,MGC,ΩΔΦ
University of Missouri,Sigma Lambda Beta,,MGC,ΣΛΒ
University of Missouri,Sigma Lambda Gamma,,MGC,ΣΛΓ
University of Oklahoma,Alpha Sigma Phi,,IFC,ΑΣΦ
University of Oklahoma,Alpha Tau Omega,,IFC,ΑΤΩ
University of Oklahoma,Beta Theta Pi,,IFC,ΒΘΠ
University of Oklahoma,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Oklahoma,Delta Tau Delta,,IFC,ΔΤΔ
University of Oklahoma,FarmHouse,,IFC,FH
University of Oklahoma,Kappa Alpha Order,,IFC,ΚΑ
University of Oklahoma,Kappa Sigma,,IFC,ΚΣ
University of Oklahoma,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Oklahoma,Phi Delta Theta,,IFC,ΦΔΘ
University of Oklahoma,Phi Gamma Delta,,IFC,ΦΓΔ
University of Oklahoma,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Oklahoma,Pi Kappa Phi,,IFC,ΠΚΦ
University of Oklahoma,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Oklahoma,Sigma Chi,,IFC,ΣΧ
University of Oklahoma,Sigma Nu,,IFC,ΣΝ
University of Oklahoma,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Oklahoma,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Oklahoma,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Oklahoma,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Oklahoma,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Oklahoma,Alpha Phi,,Panhellenic,ΑΦ
University of Oklahoma,Chi Omega,,Panhellenic,ΧΩ
University of Oklahoma,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Oklahoma,Delta Gamma,,Panhellenic,ΔΓ
University of Oklahoma,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Oklahoma,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Oklahoma,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Oklahoma,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Oklahoma,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Oklahoma,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Oklahoma,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Oklahoma,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Oklahoma,Iota Phi Theta,,NPHC,ΙΦΘ
University of Oklahoma,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Oklahoma,Omega Psi Phi,,NPHC,ΩΨΦ
University of Oklahoma,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Oklahoma,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Oklahoma,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Oklahoma,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Oklahoma,Lambda Delta Psi,,MGC,ΛΔΨ
University of Oklahoma,Lambda Phi Epsilon,,MGC,ΛΦΕ
University of Oklahoma,Lambda Theta Alpha,,MGC,ΛΘΑ
University of Oklahoma,Lambda Theta Phi,,MGC,ΛΘΦ
University of Oklahoma,Omega Delta Phi,,MGC,ΩΔΦ
University of Oklahoma,Sigma Lambda Beta,,MGC,ΣΛΒ
University of Oklahoma,Sigma Lambda Gamma,,MGC,ΣΛΓ
University of South Carolina,Acacia,,IFC,Acacia
University of South Carolina,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of South Carolina,Alpha Sigma Phi,,IFC,ΑΣΦ
University of South Carolina,Alpha Tau Omega,,IFC,ΑΤΩ
University of South Carolina,Beta Theta Pi,,IFC,ΒΘΠ
University of South Carolina,Beta Upsilon Chi,,IFC,ΒΥΧ
University of South Carolina,Chi Psi,,IFC,ΧΨ
University of South Carolina,Delta Chi,,IFC,ΔΧ
University of South Carolina,Delta Sigma Phi,,IFC,ΔΣΦ
University of South Carolina,Delta Tau Delta,,IFC,ΔΤΔ
University of South Carolina,Kappa Alpha Order,,IFC,ΚΑ
University of South Carolina,Kappa Sigma,,IFC,ΚΣ
University of South Carolina,Lambda Chi Alpha,,IFC,ΛΧΑ
University of South Carolina,Phi Delta Theta,,IFC,ΦΔΘ
University of South Carolina,Phi Gamma Delta,,IFC,ΦΓΔ
University of South Carolina,Phi Kappa Sigma,,IFC,ΦΚΣ
University of South Carolina,Pi Kappa Alpha,,IFC,ΠΚΑ
University of South Carolina,Pi Kappa Phi,,IFC,ΠΚΦ
University of South Carolina,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of South Carolina,Sigma Chi,,IFC,ΣΧ
University of South Carolina,Sigma Nu,,IFC,ΣΝ
University of South Carolina,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of South Carolina,Sigma Pi,,IFC,ΣΠ
University of South Carolina,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of South Carolina,Theta Chi,,IFC,ΘΧ
University of South Carolina,Theta Xi,,IFC,ΘΞ
University of South Carolina,Zeta Beta Tau,,IFC,ΖΒΤ
University of South Carolina,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of South Carolina,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of South Carolina,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of South Carolina,Alpha Xi Delta,,Panhellenic,ΑΞΔ
University of South Carolina,Chi Omega,,Panhellenic,ΧΩ
University of South Carolina,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of South Carolina,Delta Gamma,,Panhellenic,ΔΓ
University of South Carolina,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of South Carolina,Kappa Delta,,Panhellenic,ΚΔ
University of South Carolina,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of South Carolina,Phi Mu,,Panhellenic,ΦΜ
University of South Carolina,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of South Carolina,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of South Carolina,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of South Carolina,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of South Carolina,Delta Sigma Theta,,NPHC,ΔΣΘ
University of South Carolina,Iota Phi Theta,,NPHC,ΙΦΘ
University of South Carolina,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of South Carolina,Omega Psi Phi,,NPHC,ΩΨΦ
University of South Carolina,Phi Beta Sigma,,NPHC,ΦΒΣ
University of South Carolina,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of South Carolina,Zeta Phi Beta,,NPHC,ΖΦΒ
University of South Carolina,Alpha Kappa Delta Phi,,CGC,ΑΚΔΦ
University of South Carolina,Delta Phi Omega,,CGC,ΔΦΩ
University of South Carolina,Lambda Theta Alpha,,CGC,ΛΘΑ
University of South Carolina,Lambda Theta Phi,,CGC,ΛΘΦ
University of South Carolina,Omega Phi Beta,,CGC,ΩΦΒ
University of South Carolina,Sigma Lambda Beta,,CGC,ΣΛΒ
University of South Carolina,Sigma Lambda Gamma,,CGC,ΣΛΓ
University of South Carolina,Hermandad de Sigma Iota Alpha,,CGC,ΣΙΑ
"University of Tennessee, Knoxville",Alpha Gamma Rho,,IFC,ΑΓΡ
"University of Tennessee, Knoxville",Alpha Tau Omega,,IFC,ΑΤΩ
"University of Tennessee, Knoxville",Beta Theta Pi,,IFC,ΒΘΠ
"University of Tennessee, Knoxville",Beta Upsilon Chi,,IFC,ΒΥΧ
"University of Tennessee, Knoxville",Chi Phi,,IFC,ΧΦ
"University of Tennessee, Knoxville",Delta Kappa Epsilon,,IFC,ΔΚΕ
"University of Tennessee, Knoxville",Delta Sigma Phi,,IFC,ΔΣΦ
"University of Tennessee, Knoxville",Delta Tau Delta,,IFC,ΔΤΔ
"University of Tennessee, Knoxville",FarmHouse,,IFC,FH
"University of Tennessee, Knoxville",Kappa Alpha Order,,IFC,ΚΑ
"University of Tennessee, Knoxville",Kappa Sigma,,IFC,ΚΣ
"University of Tennessee, Knoxville",Lambda Chi Alpha,,IFC,ΛΧΑ
"University of Tennessee, Knoxville",Phi Delta Theta,,IFC,ΦΔΘ
"University of Tennessee, Knoxville",Phi Gamma Delta,,IFC,ΦΓΔ
"University of Tennessee, Knoxville",Phi Kappa Tau,,IFC,ΦΚΤ
"University of Tennessee, Knoxville",Pi Kappa Alpha,,IFC,ΠΚΑ
"University of Tennessee, Knoxville",Pi Kappa Phi,,IFC,ΠΚΦ
"University of Tennessee, Knoxville",Sigma Alpha Epsilon,,IFC,ΣΑΕ
"University of Tennessee, Knoxville",Sigma Chi,,IFC,ΣΧ
"University of Tennessee, Knoxville",Sigma Nu,,IFC,ΣΝ
"University of Tennessee, Knoxville",Sigma Phi Epsilon,,IFC,ΣΦΕ
"University of Tennessee, Knoxville",Theta Chi,,IFC,ΘΧ
"University of Tennessee, Knoxville",Zeta Beta Tau,,IFC,ΖΒΤ
"University of Tennessee, Knoxville",Alpha Chi Omega,,Panhellenic,ΑΧΩ
"University of Tennessee, Knoxville",Alpha Delta Pi,,Panhellenic,ΑΔΠ
"University of Tennessee, Knoxville",Alpha Omicron Pi,,Panhellenic,ΑΟΠ
"University of Tennessee, Knoxville",Chi Omega,,Panhellenic,ΧΩ
"University of Tennessee, Knoxville",Delta Delta Delta,,Panhellenic,ΔΔΔ
"University of Tennessee, Knoxville",Delta Gamma,,Panhellenic,ΔΓ
"University of Tennessee, Knoxville",Delta Zeta,,Panhellenic,ΔΖ
"University of Tennessee, Knoxville",Kappa Alpha Theta,,Panhellenic,ΚΑΘ
"University of Tennessee, Knoxville",Kappa Delta,,Panhellenic,ΚΔ
"University of Tennessee, Knoxville",Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
"University of Tennessee, Knoxville",Phi Mu,,Panhellenic,ΦΜ
"University of Tennessee, Knoxville",Pi Beta Phi,,Panhellenic,ΠΒΦ
"University of Tennessee, Knoxville",Sigma Kappa,,Panhellenic,ΣΚ
"University of Tennessee, Knoxville",Zeta Tau Alpha,,Panhellenic,ΖΤΑ
"University of Tennessee, Knoxville",Alpha Phi Alpha,,NPHC,ΑΦΑ
"University of Tennessee, Knoxville",Alpha Kappa Alpha,,NPHC,ΑΚΑ
"University of Tennessee, Knoxville",Delta Sigma Theta,,NPHC,ΔΣΘ
"University of Tennessee, Knoxville",Kappa Alpha Psi,,NPHC,ΚΑΨ
"University of Tennessee, Knoxville",Omega Psi Phi,,NPHC,ΩΨΦ
"University of Tennessee, Knoxville",Phi Beta Sigma,,NPHC,ΦΒΣ
"University of Tennessee, Knoxville",Zeta Phi Beta,,NPHC,ΖΦΒ
"University of Tennessee, Knoxville",Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
"University of Tennessee, Knoxville",Delta Phi Lambda,,MGC,ΔΦΛ
"University of Tennessee, Knoxville",Lambda Theta Alpha,,MGC,ΛΘΑ
"University of Tennessee, Knoxville",Lambda Theta Phi,,MGC,ΛΘΦ
"University of Tennessee, Knoxville",Sigma Lambda Gamma,,MGC,ΣΛΓ
"University of Tennessee, Knoxville",Sigma Lambda Beta,,MGC,ΣΛΒ
University of Texas at Austin,Acacia,,IFC,Acacia
University of Texas at Austin,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of Texas at Austin,Alpha Tau Omega,,IFC,ΑΤΩ
University of Texas at Austin,Beta Theta Pi,,IFC,ΒΘΠ
University of Texas at Austin,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Texas at Austin,Delta Chi,,IFC,ΔΧ
University of Texas at Austin,Delta Sigma Phi,,IFC,ΔΣΦ
University of Texas at Austin,Delta Tau Delta,,IFC,ΔΤΔ
University of Texas at Austin,Kappa Alpha Order,,IFC,ΚΑ
University of Texas at Austin,Kappa Sigma,,IFC,ΚΣ
University of Texas at Austin,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Texas at Austin,Phi Delta Theta,,IFC,ΦΔΘ
University of Texas at Austin,Phi Gamma Delta,,IFC,ΦΓΔ
University of Texas at Austin,Phi Kappa Psi,,IFC,ΦΚΨ
University of Texas at Austin,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Texas at Austin,Pi Kappa Phi,,IFC,ΠΚΦ
University of Texas at Austin,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Texas at Austin,Sigma Alpha Mu,,IFC,ΣΑΜ
University of Texas at Austin,Sigma Chi,,IFC,ΣΧ
University of Texas at Austin,Sigma Nu,,IFC,ΣΝ
University of Texas at Austin,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Texas at Austin,Sigma Pi,,IFC,ΣΠ
University of Texas at Austin,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Texas at Austin,Theta Chi,,IFC,ΘΧ
University of Texas at Austin,Zeta Beta Tau,,IFC,ΖΒΤ
University of Texas at Austin,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Texas at Austin,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Texas at Austin,Alpha Epsilon Phi,,Panhellenic,ΑΕΦ
University of Texas at Austin,Alpha Phi,,Panhellenic,ΑΦ
University of Texas at Austin,Alpha Xi Delta,,Panhellenic,ΑΞΔ
University of Texas at Austin,Chi Omega,,Panhellenic,ΧΩ
University of Texas at Austin,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Texas at Austin,Delta Gamma,,Panhellenic,ΔΓ
University of Texas at Austin,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Texas at Austin,Kappa Delta,,Panhellenic,ΚΔ
University of Texas at Austin,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Texas at Austin,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Texas at Austin,Sigma Delta Tau,,Panhellenic,ΣΔΤ
University of Texas at Austin,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Texas at Austin,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Texas at Austin,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Texas at Austin,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Texas at Austin,Iota Phi Theta,,NPHC,ΙΦΘ
University of Texas at Austin,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Texas at Austin,Omega Psi Phi,,NPHC,ΩΨΦ
University of Texas at Austin,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Texas at Austin,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Texas at Austin,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Texas at Austin,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Texas at Austin,Beta Chi Theta,,MGC,ΒΧΘ
University of Texas at Austin,Delta Epsilon Psi,,MGC,ΔΕΨ
University of Texas at Austin,Delta Phi Omega,,MGC,ΔΦΩ
University of Texas at Austin,Kappa Delta Chi,,MGC,ΚΔΧ
University of Texas at Austin,Kappa Phi Gamma,,MGC,ΚΦΓ
University of Texas at Austin,Lambda Theta Alpha,,MGC,ΛΘΑ
University of Texas at Austin,Lambda Theta Phi,,MGC,ΛΘΦ
University of Texas at Austin,Omega Delta Phi,,MGC,ΩΔΦ
University of Texas at Austin,Sigma Lambda Alpha,,MGC,
University of Texas at Austin,Sigma Lambda Beta,,MGC,ΣΛΒ
University of Texas at Austin,Sigma Lambda Gamma,,MGC,ΣΛΓ
University of Texas at Austin,Alpha Phi Omega,,Affiliate Leadership Circle,ΑΦΩ
University of Texas at Austin,Kappa Kappa Psi,,Affiliate Leadership Circle,ΚΚΨ
University of Texas at Austin,Phi Mu Alpha Sinfonia,,Affiliate Leadership Circle,ΦΜΑ
University of Texas at Austin,Sigma Phi Lambda,,Affiliate Leadership Circle,
Texas A&M University,Alpha Chi Omega,,Panhellenic,ΑΧΩ
Texas A&M University,Alpha Delta Pi,,Panhellenic,ΑΔΠ
Texas A&M University,Alpha Epsilon Phi,,Panhellenic,ΑΕΦ
Texas A&M University,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
Texas A&M University,Chi Omega,,Panhellenic,ΧΩ
Texas A&M University,Delta Delta Delta,,Panhellenic,ΔΔΔ
Texas A&M University,Delta Gamma,,Panhellenic,ΔΓ
Texas A&M University,Delta Zeta,,Panhellenic,ΔΖ
Texas A&M University,Gamma Phi Beta,,Panhellenic,ΓΦΒ
Texas A&M University,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
Texas A&M University,Kappa Delta,,Panhellenic,ΚΔ
Texas A&M University,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
Texas A&M University,Pi Beta Phi,,Panhellenic,ΠΒΦ
Texas A&M University,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
Texas A&M University,Alpha Gamma Rho,,IFC,ΑΓΡ
Texas A&M University,Alpha Tau Omega,,IFC,ΑΤΩ
Texas A&M University,Alpha Sigma Phi,,IFC,ΑΣΦ
Texas A&M University,Beta Theta Pi,,IFC,ΒΘΠ
Texas A&M University,Beta Upsilon Chi,,IFC,ΒΥΧ
Texas A&M University,Delta Sigma Phi,,IFC,ΔΣΦ
Texas A&M University,Delta Tau Delta,,IFC,ΔΤΔ
Texas A&M University,Kappa Alpha Order,,IFC,ΚΑ
Texas A&M University,Kappa Sigma,,IFC,ΚΣ
Texas A&M University,Lambda Chi Alpha,,IFC,ΛΧΑ
Texas A&M University,Phi Delta Theta,,IFC,ΦΔΘ
Texas A&M University,Phi Gamma Delta,,IFC,ΦΓΔ
Texas A&M University,Phi Kappa Psi,,IFC,ΦΚΨ
Texas A&M University,Phi Kappa Tau,,IFC,ΦΚΤ
Texas A&M University,Pi Kappa Alpha,,IFC,ΠΚΑ
Texas A&M University,Pi Kappa Phi,,IFC,ΠΚΦ
Texas A&M University,Sigma Alpha Epsilon,,IFC,ΣΑΕ
Texas A&M University,Sigma Alpha Mu,,IFC,ΣΑΜ
Texas A&M University,Sigma Chi,,IFC,ΣΧ
Texas A&M University,Sigma Phi Epsilon,,IFC,ΣΦΕ
Texas A&M University,Tau Kappa Epsilon,,IFC,ΤΚΕ
Texas A&M University,Theta Chi,,IFC,ΘΧ
Texas A&M University,Beta Tau Omega,,MGC,ΒΤΩ
Texas A&M University,Chi Psi Beta,,MGC,ΧΨΒ
Texas A&M University,Delta Kappa Delta,,MGC,ΔΚΔ
Texas A&M University,Gamma Alpha Omega,,MGC,ΓΑΩ
Texas A&M University,Gamma Beta,,MGC,ΓΒ
Texas A&M University,Gamma Phi Omega,,MGC,ΓΦΩ
Texas A&M University,Kappa Delta Chi,,MGC,ΚΔΧ
Texas A&M University,Lambda Delta Psi,,MGC,ΛΔΨ
Texas A&M University,Lambda Theta Alpha,,MGC,ΛΘΑ
Texas A&M University,Lambda Theta Phi,,MGC,ΛΘΦ
Texas A&M University,Omega Delta Phi,,MGC,ΩΔΦ
Texas A&M University,Alpha Phi Alpha,,NPHC,ΑΦΑ
Texas A&M University,Alpha Kappa Alpha,,NPHC,ΑΚΑ
Texas A&M University,Delta Sigma Theta,,NPHC,ΔΣΘ
Texas A&M University,Kappa Alpha Psi,,NPHC,ΚΑΨ
Texas A&M University,Omega Psi Phi,,NPHC,ΩΨΦ
Texas A&M University,Phi Beta Sigma,,NPHC,ΦΒΣ
Texas A&M University,Sigma Gamma Rho,,NPHC,ΣΓΡ
Texas A&M University,Zeta Phi Beta,,NPHC,ΖΦΒ
Vanderbilt University,Alpha Epsilon Pi,,IFC,ΑΕΠ
Vanderbilt University,Alpha Tau Omega,,IFC,ΑΤΩ
Vanderbilt University,Beta Theta Pi,,IFC,ΒΘΠ
Vanderbilt University,Beta Upsilon Chi,,IFC,ΒΥΧ
Vanderbilt University,Delta Kappa Epsilon,,IFC,ΔΚΕ
